EmployeeID,TotalMonthsOfExp,TotalOrgsWorked,MonthsInOrg,LastPayIncrementBand,AverageFeedback,LastPromotionYears,Attrition
1,110,4,9,5,4,4,1
2,103,3,51,1,4,2,0
3,41,4,16,5,4,4,1
4,32,4,17,5,2,3,0
5,80,3,16,3,4,2,0
6,109,1,39,4,2,4,1
7,28,2,21,5,2,4,1
8,81,2,35,3,4,1,0
9,23,1,9,3,3,4,1
10,86,1,70,1,1,4,1
11,30,1,27,5,2,1,0
12,45,4,20,3,4,1,0
13,50,2,38,4,4,2,0
14,111,5,85,3,2,2,0
15,31,2,15,4,1,4,1
16,61,4,24,1,4,3,0
17,77,4,35,3,1,1,0
18,81,5,7,1,2,3,0
19,113,4,112,5,4,4,1
20,101,2,48,5,1,4,1
21,45,4,22,5,3,4,1
22,25,2,2,2,3,4,1
23,97,3,15,3,2,4,1
24,31,1,17,3,3,2,0
25,74,3,46,1,3,1,0
26,34,3,10,3,3,1,0
27,85,5,62,5,3,3,0
28,58,4,28,5,2,4,1
29,98,1,41,5,1,2,0
30,62,4,5,3,4,3,0
31,116,1,60,1,2,3,0
32,4,5,3,4,2,4,1
33,65,4,51,4,3,2,0
34,120,3,4,4,1,4,1
35,116,3,107,1,3,3,0
36,43,3,42,5,2,3,0
37,116,2,79,4,3,4,1
38,79,3,51,4,2,2,0
39,107,4,2,1,3,1,0
40,73,1,26,5,4,1,0
41,33,3,20,4,4,3,0
42,116,3,30,5,4,4,1
43,85,1,61,4,3,2,0
44,87,3,64,2,1,3,0
45,85,2,34,5,2,2,0
46,58,4,28,5,3,4,1
47,15,4,2,3,4,2,0
48,8,1,2,2,1,2,0
49,22,1,12,4,1,4,1
50,21,2,9,2,1,4,1
51,117,5,12,5,1,1,0
52,23,2,16,5,4,1,0
53,86,3,76,1,1,1,0
54,54,4,54,5,4,2,0
55,111,1,92,2,2,1,0
56,31,3,7,5,2,3,0
57,108,3,61,2,1,4,1
58,66,4,31,2,2,3,0
59,20,4,6,3,4,3,0
60,100,4,12,1,3,1,0
61,52,2,11,3,2,3,0
62,54,2,27,4,1,1,0
63,42,5,29,4,2,1,0
64,25,1,7,3,3,3,0
65,109,5,99,5,3,4,1
66,78,5,52,5,1,3,0
67,50,4,49,2,3,3,0
68,19,4,5,4,2,3,0
69,110,1,23,2,1,2,0
70,44,1,16,5,3,3,0
71,1,4,1,5,2,4,1
72,55,2,46,5,2,4,1
73,96,1,72,2,3,2,0
74,76,4,37,4,1,1,0
75,116,1,48,4,3,2,0
76,26,5,17,2,2,3,0
77,113,3,29,3,2,1,0
78,102,1,56,5,4,3,0
79,17,3,5,3,4,2,0
80,54,1,39,5,4,4,1
81,48,4,12,4,1,3,0
82,106,1,45,1,2,3,0
83,105,5,25,1,2,2,0
84,17,5,4,1,1,3,0
85,110,1,47,1,2,3,0
86,113,1,3,4,2,2,0
87,81,2,64,3,4,2,0
88,89,4,62,3,1,3,0
89,56,4,21,3,2,3,0
90,72,2,28,3,1,4,1
91,79,4,42,2,3,3,0
92,58,1,18,5,1,2,0
93,37,3,16,5,3,3,0
94,98,5,7,4,1,3,0
95,42,5,12,5,2,4,1
96,39,1,1,2,2,2,0
97,60,3,20,4,4,2,0
98,16,1,7,1,1,1,0
99,42,5,12,2,4,1,0
100,114,2,52,2,1,2,0
101,78,3,52,4,2,2,0
102,77,2,36,5,3,2,0
103,58,2,48,4,3,4,1
104,40,4,3,4,3,2,0
105,94,2,84,2,3,1,0
106,105,1,62,3,1,3,0
107,116,4,68,1,3,3,0
108,90,5,69,5,2,4,1
109,88,4,11,2,3,3,0
110,43,3,34,5,1,4,1
111,100,3,64,5,1,4,1
112,89,5,15,2,1,1,0
113,91,2,89,1,1,2,0
114,77,2,64,1,2,1,0
115,57,3,52,3,4,2,0
116,89,5,39,2,1,4,1
117,58,4,3,4,2,1,0
118,111,4,98,4,4,4,1
119,117,5,28,4,3,2,0
120,88,4,20,4,2,3,0
121,45,2,30,2,1,2,0
122,67,5,60,3,3,3,0
123,112,4,108,2,1,2,0
124,78,4,36,4,1,4,1
125,54,1,31,2,1,4,1
126,31,4,6,5,3,2,0
127,50,4,24,2,1,2,0
128,89,4,22,2,3,2,0
129,25,3,14,2,2,3,0
130,28,2,12,3,4,4,1
131,45,1,17,5,2,1,0
132,9,4,5,2,3,3,0
133,66,1,25,5,1,4,1
134,6,3,2,5,3,1,0
135,41,2,4,3,3,3,0
136,108,2,77,5,3,3,0
137,54,1,45,3,2,3,0
